id,name,country,ico,ic_dph,dic,municipality,postal_code,property_registration_number,street_name,vat_payer,building_number,category,created_date,last_modified_date,created_by,last_modified_by,color,image,image_content_type
188,"Fakultná nemocnica s poliklinikou F.D.Roosevelta Banská Bystrica, štátna príspevková organizácia",Slovensko,00165549,SK2021095670,2021095670,Banská Bystrica,97517,1,Nám. L. Svobodu,b'\x01',,Cestovanie/Ubytovanie,2024-06-10 16:45:49,2024-06-10 19:18:59,7,system,,,
189,TELEKOM,,,,,,,,,,,,2024-06-11 11:40:14,2024-06-11 11:40:14,35,35,,,
190,OSBD,,,,,,,,,,,,2024-06-11 11:47:00,2024-06-11 11:47:00,35,35,,,
191,ZSE,,,,,,,,,,,,2024-06-11 11:47:40,2024-06-11 11:47:40,35,35,,,
192,Dražobná spol,,,,,,,,,,,,2024-06-11 11:49:29,2024-06-11 11:49:29,35,35,,,
193,"Lekáreň pri Budúcnosti, s.r.o.",Slovensko,36657905,SK7120000195,2022225062,Košice - mestská časť Juh,04011,,Moldavská cesta,b'\x01',8/A,Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť,2024-06-17 10:30:31,2024-06-17 19:19:03,18,system,,,
194,Teta drogérie SR s. r.o.,Slovensko,35694254,SK2020340322,2020340322,Lužianky,95141,6,Hlohovecká,b'\x01',,Vreckové a výživné/Vreckové,2024-06-21 13:46:13,2024-06-21 19:19:07,19,system,,,
195,H & M Hennes & Mauritz SK s.r.o.,Slovensko,36718271,SK2022306858,2022306858,Bratislava - mestská časť Staré Mesto,81103,754,Zochova,b'\x01',6-8,Oblečenie a obuv/Móda,2024-06-21 18:42:26,2024-06-21 19:19:07,36,system,,,
196,"FAST PLUS, a.s.",Slovensko,35712783,SK2020227616,2020227616,Bratislava - mestská časť Ružinov,82107,90,Vlčie hrdlo,b'\x01',,"Elektronika, komunikácia a média/Elektronika",2024-06-22 10:44:15,2024-06-22 19:19:08,5,system,,,
197,Gastro Eurovea s. r. o.,Slovensko,45236381,SK2022913321,2022913321,Bratislava - mestská časť Staré Mesto,81109,,Pribinova,b'\x01',8,Stravovanie/Reštaurácie a kaviarne,2024-06-22 11:12:31,2024-06-22 19:19:08,7,system,,,
198,HRAVY s. r. o.,Slovensko,54726671,SK2121819931,2121819931,Bratislava - mestská časť Staré Mesto,81109,8,"Eurovea Central 1, Pribinova",b'\x01',,Zábava a oddych/Záľuby a šport,2024-06-22 18:09:16,2024-06-22 19:19:08,7,system,,,
199,"Baťa Slovensko, a.s.",Slovensko,34103015,SK2020385675,2020385675,Bratislava - mestská časť Staré Mesto,81106,16,Nám. SNP,b'\x01',,Oblečenie a obuv/Topánky,2024-06-22 18:10:25,2024-06-22 19:19:08,7,system,,,
200,"Trnka Gastronomy, spol. s r. o.",Slovensko,46241329,SK2023293052,2023293052,Bratislava - mestská časť Ružinov,82108,60,Záhradnícka,b'\x01',,Stravovanie/Potraviny,2024-06-22 18:10:43,2024-06-22 19:19:08,7,system,,,
201,"FAnn-parfumérie, s.r.o.",Slovensko,36049948,SK2020089522,2020089522,Banská Bystrica,97405,43,Sládkovičova,b'\x01',,Zdravie a osobná starostlivosť/Kozmetika a optika,2024-06-22 18:13:03,2024-06-22 19:19:08,7,system,,,
202,ProZeta s.r.o.,Slovensko,36739499,SK2022325998,2022325998,Bratislava - m. č. Podunajské Biskupice,82106,,Padlých hrdinov,b'\x01',24,Stravovanie/Reštaurácie a kaviarne,2024-06-23 13:12:51,2024-06-23 19:19:09,7,system,,,
203,Solitario s.r.o.,Slovensko,51220822,SK2120638080,2120638080,Bratislava - mestská časť Staré Mesto,81102,173,Hviezdoslavovo námestie,b'\x01',16,Stravovanie/Potraviny,2024-06-24 17:48:25,2024-06-24 19:19:10,7,system,,,
204,"Quang Minh Vu, podnik zahraničnej osoby",Slovensko,51410516,SK3120529049,3120529049,Bratislava-Ružinov,82101,775,Nezábudková,b'\x01',5,,2024-06-24 17:49:01,2024-09-17 17:49:18,7,7,,,
205,EDO-KIN GROUP s. r. o.,Slovensko,46988882,SK2023704199,2023704199,Bratislava - mestská časť Vrakuňa,82107,25,Ráztočná,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-06-24 17:49:15,2024-06-24 17:49:29,7,7,,,
206,Notár,Slovensko,42415209,SK1079623501,1079623501,Bratislava,83104,,Stará Vajnorská,b'\x01',8,Nezatriedené výdavky/null,2024-06-28 13:12:23,2024-06-28 19:19:13,37,system,,,
207,R&M Košice s.r.o.,Slovensko,46811397,SK2023591020,2023591020,Košice - mestská časť Staré Mesto,04001,6,Bočná,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-06-29 17:05:58,2024-06-29 19:19:14,7,system,,,
208,Vychodoslovenske muzeum v KE,,31297803,,,,,,,,,,2024-06-29 17:06:57,2024-06-29 17:06:57,7,7,,,
209,KAFEHAUS s.r.o.,Slovensko,44620667,SK2022770024,2022770024,Banská Bystrica,97401,16,Na Troskách,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-07-03 10:19:32,2024-07-03 10:19:38,5,5,,,
210,"Dr.Max 138 T, s.r.o.",Slovensko,47806729,SK7120000195,2024109703,Košice - mestská časť Juh,04011,8,Moldavská cesta,b'\x01',A,Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť,2024-07-09 19:51:57,2024-07-10 07:19:21,5,system,,,
211,JZ Pharma s.r.o.,Slovensko,48290998,SK2120135831,2120135831,Miloslavov,90042,1478,Kukučínova ulica,b'\x01',30,Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť,2024-07-16 16:10:17,2024-07-16 19:19:25,36,system,,,
212,Spp,,,,,,,,,,,,2024-07-17 07:54:04,2024-07-17 07:54:04,35,35,,,
213,Ing. Juraj Nádaský,Slovensko,35267763,SK1020135622,1020135622,Senec,90301,8,Liptovská,b'\x01',,Zábava a oddych/Trafika,2024-07-19 06:15:18,2024-07-19 07:19:28,19,system,,,
214,Správa cestovného ruchu Senec s. r. o.,Slovensko,44537476,SK2022742293,2022742293,Senec,90301,53,Námestie 1. mája,b'\x01',4,Zábava a oddych/Ostatné - Oddych a záľuby,2024-07-19 06:15:44,2024-07-19 06:15:51,19,19,,,
215,Potten & Pannen - Staněk s.r.o.,Slovensko,35966165,SK2022094393,2022094393,Bratislava - mestská časť Nové Mesto,83104,,Trnavská cesta,b'\x01',49,Bývanie a energie/Vybavenie a doplnky,2024-07-19 06:17:04,2024-07-19 07:19:28,19,system,,,
216,"Jánošík - NEA, s.r.o.",Slovensko,52136825,SK2120918690,2120918690,Bratislava - mestská časť Dúbravka,84101,27,kpt. Jána Rašu,b'\x01',,Auto-moto/Pohonné hmoty,2024-07-19 06:17:27,2024-07-19 07:19:28,19,system,,,
217,JVS GROUP s.r.o.,Česká republika,25865005,SK4020369859,4020369859,"Ostrava, Poruba",70800,1333,Sokolovská,b'\x01',45,Oblečenie a obuv/Móda,2024-07-22 06:53:29,2024-07-22 07:19:30,19,system,,,
218,"POST servis, s. r. o.",Slovensko,31328245,SK2020316903,2020316903,Senec,90301,2,Turecká,b'\x01',E,Stravovanie/Potraviny,2024-07-22 06:54:30,2024-07-22 06:54:37,19,19,,,
219,"BAUHAUS odborné centrum pre dielňu, dom a záhradu k. s.",Slovensko,47794437,SK2024097856,2024097856,Bratislava - mestská časť Ružinov,82104,1,Pri letisku,b'\x01',,Bývanie a energie/Vybavenie a doplnky,2024-07-22 11:11:15,2024-07-22 19:19:30,18,system,,,
220,"BAD, s.r.o.",Slovensko,31631045,SK2021105251,2021105251,Sliač,96231,,Letecká,b'\x01',19,Stravovanie/Ostatné - Strava a potraviny,2024-07-22 11:13:36,2024-07-22 19:19:30,18,system,,,
221,TEDi Betriebs s. r. o.,Slovensko,46919872,SK2023659528,2023659528,Bratislava - mestská časť Ružinov,82104,,Cesta na Senec,b'\x01',2/A,Bývanie a energie/Vybavenie a doplnky,2024-07-22 18:04:53,2024-07-22 19:19:30,36,system,,,
222,"Feel good, s.r.o.",Slovensko,47022892,SK2023695135,2023695135,Bratislava - mestská časť Ružinov,82101,23,Tomášikova,b'\x01',,Zdravie a osobná starostlivosť/Kozmetika a optika,2024-07-24 07:51:47,2024-07-24 19:19:31,19,system,,,
223,Team Up s. r. o.,Slovensko,50243411,SK2120248878,2120248878,Bratislava - mestská časť Staré Mesto,81102,26,Na kopci,b'\x01',,Zábava a oddych/Zábava,2024-07-26 17:11:50,2024-07-26 19:19:33,7,system,,,
224,"MUNIŠI-Group, s.r.o.",Slovensko,52108694,SK2121141781,2121141781,Bratislava - mestská časť Nové Mesto,83103,10896,Tomášikova,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-07-26 17:12:08,2024-07-26 19:19:33,7,system,,,
225,Galaxia VR s.r.o.,Slovensko,51984423,SK2120849445,2120849445,Miloslavov,90042,571,Alžbetin Dvor,b'\x01',,Zábava a oddych/Záľuby a šport,2024-07-26 17:12:21,2024-07-26 19:19:33,7,system,,,
226,XLSK Nábytok s. r. o.,Slovensko,35883103,SK2021829260,2021829260,Bratislava - mestská časť Ružinov,82104,,Galvaniho,b'\x01',11,Bývanie a energie/Vybavenie a doplnky,2024-07-27 15:42:56,2024-07-27 19:19:34,36,system,,,
227,"VILLAGE DEVELOPMENT, s.r.o.",Slovensko,36612057,SK2022208782,2022208782,Dunajská Streda,92901,2a,Mlynská,b'\x01',/4629,Zábava a oddych/Ostatné - Oddych a záľuby,2024-08-01 16:23:56,2024-08-01 19:19:39,36,system,,,
228,Brew Bar,,,,,,,,,,,,2024-08-12 11:24:08,2024-08-12 11:24:08,13,13,,,
229,"EUROCOM Investment, s.r.o.",Slovensko,35756985,SK2021394969,2021394969,Bešeňová,03483,136,Bešeňová,b'\x01',,,2024-08-12 18:18:47,2024-08-12 18:18:47,21,21,,,
230,TomiLand s. r. o.,Slovensko,46677879,SK2023515406,2023515406,Bratislava - mestská časť Nové Mesto,83101,45,Vajnorská,b'\x01',,Vzdelanie/Kurzy a doučovanie,2024-08-12 18:19:43,2024-08-13 05:03:28,21,21,,,
231,Irin s. r. o.,Slovensko,53883349,SK2121527496,2121527496,Bratislava - mestská časť Staré Mesto,81103,7457,Podjavorinskej,b'\x00',4A,Stravovanie/Reštaurácie a kaviarne,2024-09-17 17:18:35,2024-09-17 17:18:37,7,7,,,
232,"ADJ, a. s.",Slovensko,51007002,SK2120558088,2120558088,Bratislava - mestská časť Staré Mesto,81109,71,Grösslingová,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-09-17 17:28:06,2024-09-17 19:20:20,7,system,,,
233,NAY a.s.,Slovensko,35739487,SK2020270186,2020270186,Bratislava - mestská časť Vajnory,83006,15,Tuhovská,b'\x01',,"Elektronika, komunikácia a média/Elektronika",2024-09-17 17:29:01,2024-09-17 19:20:20,7,system,,,
234,Tiger Stores Slovakia s. r. o.,Slovensko,46924469,SK2023669868,2023669868,Bratislava - mestská časť Staré Mesto,81106,43-49,Obchodná,b'\x01',,Zábava a oddych/Hry a hračky,2024-09-17 17:33:37,2024-09-17 19:20:20,7,system,,,
235,Ernest Ravasz,Slovensko,37230816,SK1034950268,1034950268,Jelka,92523,1098,Školská,b'\x01',93,Stravovanie/Reštaurácie a kaviarne,2024-09-17 17:36:00,2024-09-17 17:36:08,7,7,,,
236,"be PARTY, s. r. o.",Slovensko,55533566,,2122020835,Bratislava - mestská časť Nové Mesto,83101,2867,Jelšová,b'\x00',3,Zábava a oddych/Zábava,2024-09-17 17:37:40,2024-09-17 19:20:20,7,system,,,
237,RNDr.Alžbeta Gábrišová-Lekáreň Pokrok,Slovensko,31788891,SK1037274810,1037274810,Bratislava - mestská časť Nové Mesto,83102,10990,Račianske mýto,b'\x01',1D,Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť,2024-09-17 17:39:30,2024-09-17 19:20:20,7,system,,,
238,"LEON BA, s. r. o.",Slovensko,53066669,SK2121263221,2121263221,Bratislava - mestská časť Staré Mesto,81109,50,Grösslingova,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-09-17 17:42:28,2024-09-17 17:42:39,7,7,,,
239,"FIDENZA, spol. s r.o.",Slovensko,31618618,,2020530116,Kremnica,96701,13,Štefánikovo nám.,b'\x00',25,Stravovanie/Reštaurácie a kaviarne,2024-09-17 17:43:51,2024-09-17 17:43:55,7,7,,,
240,"Mincovňa Kremnica, štátny podnik",Slovensko,00010448,SK2020453479,2020453479,Kremnica,96701,25,Štefánikovo nám.,b'\x01',24,Zábava a oddych/Zábava,2024-09-17 17:44:01,2024-09-17 19:20:20,7,system,,,
241,DH Gastronomy s. r. o.,Slovensko,55333672,SK2121954098,2121954098,Kráľová pri Senci,90050,,Kráľová pri Senci,b'\x01',399,,2024-09-17 17:45:19,2024-09-17 17:45:19,7,7,,,
242,Koshi Sushi s.r.o.,Slovensko,46288481,SK2023328945,2023328945,Košice - mestská časť Vyšné Opátske,04001,2776,Jelšová,b'\x01',18,,2024-09-17 17:45:38,2024-09-17 17:45:38,7,7,,,
243,Ko.Ma.Co-sk s.r.o,Slovensko,47147695,SK2023768593,2023768593,Modra,90001,136,Šúrska,b'\x01',A,Stravovanie/Potraviny,2024-09-17 17:47:49,2024-09-17 19:20:20,7,system,,,
244,"M.K.M. TRADING, spol. s r.o.",Slovensko,17331463,SK2020342951,2020342951,Bratislava - mestská časť Karlova Ves,84105,,Šaštínska,b'\x01',28,Cestovanie/Ubytovanie,2024-09-17 17:49:35,2024-09-17 19:20:20,7,system,,,
245,FondaCake s.r.o.,Slovensko,47450681,SK2023904872,2023904872,Bratislava - m. č. Podunajské Biskupice,82106,12132,Podzáhradná,b'\x01',100,Stravovanie/Reštaurácie a kaviarne,2024-09-29 10:34:22,2024-09-29 19:20:30,21,system,,,
246,Mini potraviny Stanica s.r.o.,Slovensko,53372689,SK7120001801,2121360560,Košice - mestská časť Staré Mesto,04001,13,Bencúrova,b'\x01',,Stravovanie/Potraviny,2024-09-30 12:49:07,2024-09-30 19:20:31,7,system,,,
247,"Majolika-R, s. r. o.",Slovensko,53559711,SK2121427187,2121427187,Pezinok,90203,5562,Vinice,b'\x01',3,Stravovanie/Reštaurácie a kaviarne,2024-09-30 12:50:15,2024-09-30 19:20:31,7,system,,,
248,"TAURIS, a.s.",Slovensko,36773123,SK2022368733,2022368733,Rimavská Sobota,97901,6,Potravinárska,b'\x01',,Stravovanie/Potraviny,2024-09-30 12:52:41,2024-09-30 19:20:31,7,system,,,
249,Mgr. Tatiana Holečková - SLOVAK FOLK TRAVEL,Slovensko,44509481,SK1073829229,1073829229,Kremnické Bane,96701,30,Kremnické Bane,b'\x01',,Zábava a oddych/Záľuby a šport,2024-09-30 12:55:06,2024-09-30 19:20:31,7,system,,,
250,"Oliver-SK, s. r. o.",Slovensko,56255098,SK2122255916,2122255916,Modra,90001,,Dukelská,b'\x00',4,Cestovanie/Ubytovanie,2024-09-30 12:55:36,2024-09-30 19:20:31,7,system,,,
251,"BENZINOIL, spol. s r. o.",Slovensko,52275451,SK2120963834,2120963834,Kremnica,96701,73,Dolná,b'\x01',14,Auto-moto/Pohonné hmoty,2024-09-30 12:56:04,2024-09-30 19:20:31,7,system,,,
252,DENTAL X-RAY s. r. o.,Slovensko,46731997,,2023536438,Bratislava - mestská časť Jarovce,85110,5,Smaragdová,b'\x00',580,Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť,2024-09-30 12:56:22,2024-09-30 19:20:31,7,system,,,
253,alsima s.r.o.,Slovensko,47782609,SK2024091817,2024091817,Turčianske Teplice,03901,898,Teplická,b'\x01',30,Stravovanie/Reštaurácie a kaviarne,2024-09-30 12:57:21,2024-09-30 19:20:31,7,system,,,
254,"ELEKTROSPED, a. s.",Slovensko,35765038,SK2020244050,2020244050,Senec,90301,6015,Diaľničná cesta,b'\x01',12A,Bývanie a energie/Vybavenie a doplnky,2024-09-30 13:02:19,2024-09-30 19:20:31,7,system,,,
255,CLAUDE s.r.o.,Slovensko,36778486,SK7120001801,2022376862,Košice - mestská časť Staré Mesto,04001,11,Staničné námestie,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-09-30 13:04:03,2024-09-30 19:20:31,7,system,,,
256,"K&K Pharmacy VII., s. r. o.",Slovensko,48275778,SK2120133873,2120133873,Bratislava - mestská časť Staré Mesto,81109,14,Pribinova,b'\x01',,Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť,2024-09-30 13:04:52,2024-09-30 19:20:31,7,system,,,
257,NÁRODNÁ BANKA SLOVENSKA,Slovensko,30844789,SK2020815654,2020815654,Bratislava - mestská časť Staré Mesto,81325,1,Imricha Karvaša,b'\x01',,Zábava a oddych/Záľuby a šport,2024-09-30 13:05:36,2024-09-30 19:20:31,7,system,,,
258,Ing. Jozef Haurík - Medovnikárstvo,Slovensko,10931317,SK1020621591,1020621591,Kremnica,96701,720,Ulica Jurka Langsfelda,b'\x01',8,Stravovanie/Potraviny,2024-09-30 13:05:55,2024-09-30 19:20:31,7,system,,,
259,Tomáš Valkay,Slovensko,46381732,SK1084309600,1084309600,Košice - mestská časť Staré Mesto,04001,938,Vodná,b'\x01',2,Stravovanie/Reštaurácie a kaviarne,2024-09-30 13:07:05,2024-09-30 13:07:13,7,7,,,
260,"Spusta Café StM, s. r. o.",Slovensko,35803568,SK2020235569,2020235569,Bratislava - mestská časť Petržalka,85101,6,Pifflova,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-09-30 13:07:32,2024-09-30 13:07:40,7,7,,,
261,GELATO KOŠICE s.r.o.,Slovensko,53462564,SK2121377654,2121377654,Košice - mestská časť Staré Mesto,04001,113,Hlavná,b'\x01',21,,2024-09-30 13:08:29,2024-09-30 13:08:29,7,7,,,
262,Primark Slovakia s. r. o.,Slovensko,50611933,SK2120394188,2120394188,Bratislava - mestská časť Staré Mesto,81103,3,Staromestská,b'\x01',,Oblečenie a obuv/Topánky,2024-10-15 19:19:04,2024-10-15 19:20:45,21,system,,,
263,Bistro St. Germain s. r. o.,Slovensko,45545642,SK2023035575,2023035575,Bratislava - mestská časť Staré Mesto,81108,7,Rajská,b'\x01',,,2024-10-24 11:19:00,2024-10-24 11:19:00,7,7,,,
264,Arton Djeladini,Slovensko,47612614,SK3021311997,3021311997,Senica,90501,7,Námestie oslobodenia,b'\x01',24,Stravovanie/Reštaurácie a kaviarne,2024-10-24 11:22:42,2024-10-24 11:22:46,7,7,,,
265,Alza.sk s. r. o.,Slovensko,36562939,SK2021863811,2021863811,Bratislava - mestská časť Nové Mesto,83102,1D,Sliačska,b'\x01',,Stravovanie/Potraviny,2024-10-24 11:27:11,2024-10-24 19:20:53,7,system,,,
266,Sport & Art spol.s r.o.,Slovensko,35689064,SK2020323525,2020323525,Bratislava - mestská časť Ružinov,82101,49,Zálužická,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-10-24 11:27:39,2024-10-24 11:27:44,7,7,,,
267,FaxCopy a.s.,Slovensko,35729040,SK7020000130,2020242070,Bratislava - mestská časť Ružinov,82105,15,Domkárska,b'\x01',,Vzdelanie/Učebnice a školské potreby,2024-10-24 11:29:26,2024-10-24 19:20:53,7,system,,,
268,Kultúrne a informačné centrum mesta Kremnica,Slovensko,37999095,SK2022061921,2022061921,Kremnica,96701,35,Štefánikovo námestie,b'\x01',44,Stravovanie/Potraviny,2024-10-24 11:37:21,2024-10-24 19:20:53,7,system,,,
269,MB BH s.r.o.,Slovensko,55977596,SK2122153660,2122153660,Košice - mestská časť Barca,04017,28,Pri Pošte,b'\x00',8,Stravovanie/Reštaurácie a kaviarne,2024-10-24 11:40:04,2024-10-24 19:20:53,7,system,,,
270,TESCOMA s.r.o.,Slovensko,31343988,SK2020441654,2020441654,Púchov,02001,1495,Nimnická cesta,b'\x01',21,Ostatné výdavky/Darčeky,2024-10-24 11:40:21,2024-10-24 19:20:53,7,system,,,
271,"APIMEX, spol. s r.o.",Slovensko,34108530,SK2020373113,2020373113,Veľké Úľany,92522,586,Hlavná,b'\x01',,,2024-11-04 07:47:56,2024-11-04 07:47:56,7,7,,,
272,DEICHMANN-OBUV SK s.r.o.,Slovensko,35898933,SK2021876461,2021876461,Dunajská Streda,92901,1, ulica Logistického parku,b'\x01',,Oblečenie a obuv/Topánky,2024-11-04 07:48:33,2024-11-04 19:21:04,7,system,,,
273,"ASIAN VIEW, s. r. o.",Slovensko,45334528,SK2022948895,2022948895,Bratislava - mestská časť Karlova Ves,84105,5,Jamnického,b'\x01',,Stravovanie/Reštaurácie a kaviarne,2024-11-04 07:48:51,2024-11-04 19:21:04,7,system,,,
274,Liasam s.r.o.,Slovensko,52210430,SK2120952240,2120952240,Bratislava - mestská časť Staré Mesto,81103,9,Svoradova,b'\x01',,Oblečenie a obuv/Móda,2024-11-04 07:49:03,2024-11-04 19:21:04,7,system,,,
275,"SULIS, s.r.o.",Slovensko,35914734,,2021931747,Bratislava - mestská časť Karlova Ves,84105,36,Majerníkova,b'\x00',,Zdravie a osobná starostlivosť/Lekári a nemocnice,2024-11-04 07:52:05,2024-11-04 19:21:04,7,system,,,
276,"CP, s.r.o.",Slovensko,36497592,SK2021878166,2021878166,Prešov,08001,16,Masarykova,b'\x01',,Auto-moto/Parkovanie,2024-11-05 18:47:18,2024-11-05 19:21:05,40,system,,,
277,Tu Anh Tran,Slovensko,43496229,SK1078447392,1078447392,Košice - mestská časť Sídlisko KVP,04023,1285,Húskova,b'\x01',21,Oblečenie a obuv/null,2024-11-06 13:30:55,2024-11-06 19:21:06,42,system,,,
